,gen_loss,disc_loss
0,"tf.Tensor(1.7423573, shape=(), dtype=float32)","tf.Tensor(3.2142863, shape=(), dtype=float32)"
1,"tf.Tensor(0.52526236, shape=(), dtype=float32)","tf.Tensor(1.1819928, shape=(), dtype=float32)"
2,"tf.Tensor(0.40158448, shape=(), dtype=float32)","tf.Tensor(0.4678424, shape=(), dtype=float32)"
3,"tf.Tensor(0.32257187, shape=(), dtype=float32)","tf.Tensor(0.44089863, shape=(), dtype=float32)"
4,"tf.Tensor(0.2708249, shape=(), dtype=float32)","tf.Tensor(0.40685096, shape=(), dtype=float32)"
5,"tf.Tensor(0.26779228, shape=(), dtype=float32)","tf.Tensor(0.4197791, shape=(), dtype=float32)"
6,"tf.Tensor(0.24567787, shape=(), dtype=float32)","tf.Tensor(0.4182086, shape=(), dtype=float32)"
7,"tf.Tensor(0.2412391, shape=(), dtype=float32)","tf.Tensor(0.40957737, shape=(), dtype=float32)"
8,"tf.Tensor(0.24023296, shape=(), dtype=float32)","tf.Tensor(0.40723896, shape=(), dtype=float32)"
9,"tf.Tensor(0.24348098, shape=(), dtype=float32)","tf.Tensor(0.40225914, shape=(), dtype=float32)"
10,"tf.Tensor(0.27403238, shape=(), dtype=float32)","tf.Tensor(0.40784398, shape=(), dtype=float32)"
11,"tf.Tensor(0.2846821, shape=(), dtype=float32)","tf.Tensor(0.396782, shape=(), dtype=float32)"
12,"tf.Tensor(0.27818137, shape=(), dtype=float32)","tf.Tensor(0.40618417, shape=(), dtype=float32)"
13,"tf.Tensor(0.25927746, shape=(), dtype=float32)","tf.Tensor(0.41108125, shape=(), dtype=float32)"
14,"tf.Tensor(0.25381488, shape=(), dtype=float32)","tf.Tensor(0.39806458, shape=(), dtype=float32)"
15,"tf.Tensor(0.25720274, shape=(), dtype=float32)","tf.Tensor(0.41566056, shape=(), dtype=float32)"
16,"tf.Tensor(0.24847881, shape=(), dtype=float32)","tf.Tensor(0.41120476, shape=(), dtype=float32)"
17,"tf.Tensor(0.24997555, shape=(), dtype=float32)","tf.Tensor(0.40233532, shape=(), dtype=float32)"
18,"tf.Tensor(0.2760702, shape=(), dtype=float32)","tf.Tensor(0.40509796, shape=(), dtype=float32)"
19,"tf.Tensor(0.30049303, shape=(), dtype=float32)","tf.Tensor(0.39585003, shape=(), dtype=float32)"
20,"tf.Tensor(0.2837449, shape=(), dtype=float32)","tf.Tensor(0.39468142, shape=(), dtype=float32)"
21,"tf.Tensor(0.2625742, shape=(), dtype=float32)","tf.Tensor(0.39329028, shape=(), dtype=float32)"
22,"tf.Tensor(0.24790734, shape=(), dtype=float32)","tf.Tensor(0.40695977, shape=(), dtype=float32)"
