,gen_loss,disc_loss
0,"tf.Tensor(0.8500754, shape=(), dtype=float32)","tf.Tensor(0.45349056, shape=(), dtype=float32)"
1,"tf.Tensor(0.9660883, shape=(), dtype=float32)","tf.Tensor(0.04741681, shape=(), dtype=float32)"
2,"tf.Tensor(1.3224692, shape=(), dtype=float32)","tf.Tensor(0.014482655, shape=(), dtype=float32)"
3,"tf.Tensor(1.6259025, shape=(), dtype=float32)","tf.Tensor(0.004244981, shape=(), dtype=float32)"
4,"tf.Tensor(2.0412467, shape=(), dtype=float32)","tf.Tensor(0.00082367554, shape=(), dtype=float32)"
5,"tf.Tensor(2.2920568, shape=(), dtype=float32)","tf.Tensor(0.00034691425, shape=(), dtype=float32)"
6,"tf.Tensor(2.4815183, shape=(), dtype=float32)","tf.Tensor(0.0001868906, shape=(), dtype=float32)"
7,"tf.Tensor(2.6282077, shape=(), dtype=float32)","tf.Tensor(0.00011528444, shape=(), dtype=float32)"
8,"tf.Tensor(1.8528568, shape=(), dtype=float32)","tf.Tensor(0.026678631, shape=(), dtype=float32)"
9,"tf.Tensor(1.695736, shape=(), dtype=float32)","tf.Tensor(0.07824598, shape=(), dtype=float32)"
10,"tf.Tensor(1.4861252, shape=(), dtype=float32)","tf.Tensor(0.07412531, shape=(), dtype=float32)"
11,"tf.Tensor(1.45237, shape=(), dtype=float32)","tf.Tensor(0.07763049, shape=(), dtype=float32)"
12,"tf.Tensor(1.1887972, shape=(), dtype=float32)","tf.Tensor(0.09495851, shape=(), dtype=float32)"
13,"tf.Tensor(1.0845425, shape=(), dtype=float32)","tf.Tensor(0.11276971, shape=(), dtype=float32)"
14,"tf.Tensor(1.0500603, shape=(), dtype=float32)","tf.Tensor(0.13209808, shape=(), dtype=float32)"
15,"tf.Tensor(0.9605337, shape=(), dtype=float32)","tf.Tensor(0.1625512, shape=(), dtype=float32)"
16,"tf.Tensor(0.7834591, shape=(), dtype=float32)","tf.Tensor(0.20961253, shape=(), dtype=float32)"
17,"tf.Tensor(0.6585584, shape=(), dtype=float32)","tf.Tensor(0.23352471, shape=(), dtype=float32)"
18,"tf.Tensor(0.61199236, shape=(), dtype=float32)","tf.Tensor(0.2394439, shape=(), dtype=float32)"
19,"tf.Tensor(0.5157317, shape=(), dtype=float32)","tf.Tensor(0.26705667, shape=(), dtype=float32)"
20,"tf.Tensor(0.47384712, shape=(), dtype=float32)","tf.Tensor(0.27229545, shape=(), dtype=float32)"
21,"tf.Tensor(0.454141, shape=(), dtype=float32)","tf.Tensor(0.28484398, shape=(), dtype=float32)"
22,"tf.Tensor(0.4367805, shape=(), dtype=float32)","tf.Tensor(0.28911537, shape=(), dtype=float32)"
23,"tf.Tensor(0.4351311, shape=(), dtype=float32)","tf.Tensor(0.29754958, shape=(), dtype=float32)"
24,"tf.Tensor(0.41517305, shape=(), dtype=float32)","tf.Tensor(0.312362, shape=(), dtype=float32)"
25,"tf.Tensor(0.39570272, shape=(), dtype=float32)","tf.Tensor(0.31779313, shape=(), dtype=float32)"
26,"tf.Tensor(0.3926921, shape=(), dtype=float32)","tf.Tensor(0.31781602, shape=(), dtype=float32)"
27,"tf.Tensor(0.39772585, shape=(), dtype=float32)","tf.Tensor(0.31257364, shape=(), dtype=float32)"
28,"tf.Tensor(0.3964828, shape=(), dtype=float32)","tf.Tensor(0.32077014, shape=(), dtype=float32)"
29,"tf.Tensor(0.37842295, shape=(), dtype=float32)","tf.Tensor(0.32479662, shape=(), dtype=float32)"
30,"tf.Tensor(0.37275597, shape=(), dtype=float32)","tf.Tensor(0.32853034, shape=(), dtype=float32)"
31,"tf.Tensor(0.3530135, shape=(), dtype=float32)","tf.Tensor(0.33647674, shape=(), dtype=float32)"
32,"tf.Tensor(0.35663524, shape=(), dtype=float32)","tf.Tensor(0.33683974, shape=(), dtype=float32)"
33,"tf.Tensor(0.332943, shape=(), dtype=float32)","tf.Tensor(0.34929302, shape=(), dtype=float32)"
34,"tf.Tensor(0.3346456, shape=(), dtype=float32)","tf.Tensor(0.34505612, shape=(), dtype=float32)"
35,"tf.Tensor(0.3195188, shape=(), dtype=float32)","tf.Tensor(0.3620928, shape=(), dtype=float32)"
36,"tf.Tensor(0.32464087, shape=(), dtype=float32)","tf.Tensor(0.3506011, shape=(), dtype=float32)"
37,"tf.Tensor(0.33155057, shape=(), dtype=float32)","tf.Tensor(0.35223457, shape=(), dtype=float32)"
38,"tf.Tensor(0.32436275, shape=(), dtype=float32)","tf.Tensor(0.3519774, shape=(), dtype=float32)"
39,"tf.Tensor(0.31724647, shape=(), dtype=float32)","tf.Tensor(0.36586648, shape=(), dtype=float32)"
