,gen_loss,disc_loss
0,"tf.Tensor(0.46614903, shape=(), dtype=float32)","tf.Tensor(0.61614615, shape=(), dtype=float32)"
1,"tf.Tensor(0.53416234, shape=(), dtype=float32)","tf.Tensor(0.13841356, shape=(), dtype=float32)"
2,"tf.Tensor(0.8390748, shape=(), dtype=float32)","tf.Tensor(0.065358415, shape=(), dtype=float32)"
3,"tf.Tensor(0.68004566, shape=(), dtype=float32)","tf.Tensor(0.16972229, shape=(), dtype=float32)"
4,"tf.Tensor(0.58252555, shape=(), dtype=float32)","tf.Tensor(0.21674426, shape=(), dtype=float32)"
5,"tf.Tensor(0.42321914, shape=(), dtype=float32)","tf.Tensor(0.2915485, shape=(), dtype=float32)"
6,"tf.Tensor(0.39262798, shape=(), dtype=float32)","tf.Tensor(0.2926404, shape=(), dtype=float32)"
7,"tf.Tensor(0.3936998, shape=(), dtype=float32)","tf.Tensor(0.32384145, shape=(), dtype=float32)"
8,"tf.Tensor(0.35075748, shape=(), dtype=float32)","tf.Tensor(0.31950635, shape=(), dtype=float32)"
9,"tf.Tensor(0.31768283, shape=(), dtype=float32)","tf.Tensor(0.35573703, shape=(), dtype=float32)"
10,"tf.Tensor(0.30946127, shape=(), dtype=float32)","tf.Tensor(0.35945928, shape=(), dtype=float32)"
11,"tf.Tensor(0.29464397, shape=(), dtype=float32)","tf.Tensor(0.36670473, shape=(), dtype=float32)"
12,"tf.Tensor(0.27374336, shape=(), dtype=float32)","tf.Tensor(0.38179195, shape=(), dtype=float32)"
13,"tf.Tensor(0.27188516, shape=(), dtype=float32)","tf.Tensor(0.38374212, shape=(), dtype=float32)"
14,"tf.Tensor(0.26577583, shape=(), dtype=float32)","tf.Tensor(0.3910016, shape=(), dtype=float32)"
15,"tf.Tensor(0.29630333, shape=(), dtype=float32)","tf.Tensor(0.37191394, shape=(), dtype=float32)"
16,"tf.Tensor(0.34187302, shape=(), dtype=float32)","tf.Tensor(0.37748697, shape=(), dtype=float32)"
17,"tf.Tensor(0.4130624, shape=(), dtype=float32)","tf.Tensor(0.3063271, shape=(), dtype=float32)"
18,"tf.Tensor(0.35437003, shape=(), dtype=float32)","tf.Tensor(0.33486715, shape=(), dtype=float32)"
19,"tf.Tensor(0.30546167, shape=(), dtype=float32)","tf.Tensor(0.3724805, shape=(), dtype=float32)"
20,"tf.Tensor(0.2904371, shape=(), dtype=float32)","tf.Tensor(0.36934936, shape=(), dtype=float32)"
21,"tf.Tensor(0.29457197, shape=(), dtype=float32)","tf.Tensor(0.36951038, shape=(), dtype=float32)"
